loan_id,customer_id,product,principal_pkr,interest_rate_pct,tenor_months,monthly_installment_pkr,disbursement_date,credit_utilisation,prior_delinquencies,days_past_due,loan_status
L701282,C102565,Credit Card,446000.0,18.81,12,41059.66,2024-07-29,0.1343,1,0,ACTIVE
L701283,C108720,Credit Card,1253500.0,18.15,12,115010.71,2026-01-23,0.2275,0,45,ACTIVE
L701284,C104953,Personal Loan,261200.0,22.26,36,10011.05,2024-09-28,0.0971,2,0,ACTIVE
L701285,C111014,Credit Card,793100.0,19.74,12,73373.91,2022-08-22,0.2344,0,15,ACTIVE
L701286,C106171,Auto Finance,350400.0,21.37,60,9553.73,2026-06-28,0.5333,1,30,ACTIVE
L701287,C103164,Auto Finance,1348100.0,17.05,60,33539.18,2024-11-29,0.1722,0,45,ACTIVE
L701288,C108309,Credit Card,304000.0,16.77,12,27694.5,2023-01-26,0.1978,0,187,DEFAULT
L701289,C110641,Personal Loan,748500.0,19.18,36,27506.58,2026-08-26,0.5689,0,0,ACTIVE
L701290,C109737,Credit Card,109500.0,22.94,12,10301.68,2023-08-07,0.8198,1,360,DEFAULT
L701291,C109241,Personal Loan,476400.0,17.55,36,17114.14,2025-11-29,0.1999,1,0,ACTIVE
L701292,C109791,Auto Finance,662900.0,,60,18705.48,2024-03-27,0.0929,0,0,CLOSED
L701293,C108176,Auto Finance,673700.0,17.33,60,16863.73,2027-07-04,0.397,0,0,ACTIVE
L701294,C103911,Credit Card,50600.0,19.84,12,4683.75,2024-04-07,0.4476,0,7,ACTIVE
L701295,C109734,Auto Finance,622600.0,26.21,60,18719.53,2025-11-26,0.167,0,30,ACTIVE
L701296,C109126,Home Finance,1069000.0,21.2,180,19729.43,2025-08-06,0.4166,2,0,ACTIVE
L701297,C103366,Auto Finance,831900.0,21.53,60,22753.53,2022-09-21,0.1522,1,0,ACTIVE
L701298,C103661,Auto Finance,3785200.0,19.77,60,99802.16,2024-06-15,0.3823,2,15,ACTIVE
L701299,C104874,Personal Loan,416600.0,19.5,36,15376.49,2025-01-30,0.2837,1,0,ACTIVE
L701300,C108190,Credit Card,539700.0,22.88,12,50741.28,2023-06-19,0.6375,1,30,ACTIVE
L701301,C100899,Personal Loan,1598000.0,12.54,36,53488.97,2023-01-14,0.3592,1,30,CLOSED
L701302,C107876,Auto Finance,1239200.0,22.29,60,34428.89,2024-04-10,0.3403,0,0,ACTIVE
L701303,C101984,Home Finance,851300.0,19.23,180,14469.11,2026-03-14,0.2594,0,30,CLOSED
L701304,C100676,Auto Finance,1146200.0,15.5,60,27569.87,2024-09-24,0.0,0,0,ACTIVE
L701305,C107423,Credit Card,422500.0,21.11,12,39363.67,2023-08-17,0.6516,0,15,ACTIVE
L701306,C109810,Credit Card,89600.0,22.28,12,8400.32,2025-06-12,0.6873,0,30,CLOSED
L701307,C110498,Personal Loan,1319200.0,20.46,36,49337.14,2023-10-26,0.3895,0,30,ACTIVE
L701308,C106686,Home Finance,2582800.0,17.39,180,40465.54,2024-07-22,0.5483,0,7,ACTIVE
L701309,C109660,Auto Finance,1804900.0,18.12,60,45950.73,2024-07-23,0.2219,0,7,ACTIVE
L701310,C109185,Credit Card,64900.0,24.25,12,6148.94,2023-09-27,0.3339,0,7,ACTIVE
L701311,C107186,Home Finance,201500.0,19.55,180,3471.32,2025-11-16,0.5935,0,30,ACTIVE
L701312,C105784,Personal Loan,2189200.0,15.04,36,75931.56,2025-08-31,0.2847,0,45,CLOSED
L701313,C103076,Credit Card,301400.0,13.25,12,26957.31,2022-07-07,0.0597,1,0,ACTIVE
L701314,C107368,Credit Card,565900.0,17.0,12,51609.85,2023-07-30,0.2522,1,0,ACTIVE
L701315,C106007,Credit Card,90800.0,12.74,12,8103.33,2024-07-09,0.1207,0,15,ACTIVE
L701316,C107852,Auto Finance,288100.0,19.82,60,7604.17,2024-05-13,0.0167,0,45,ACTIVE
L701317,C107454,Home Finance,963600.0,17.45,180,15137.62,2024-02-07,0.6917,0,30,ACTIVE
L701318,C104686,Auto Finance,337300.0,27.42,60,10384.66,2025-09-11,0.2165,0,30,ACTIVE
L701319,C104694,Personal Loan,165100.0,17.41,36,5921.73,2022-12-10,0.2717,0,0,ACTIVE
L701320,C108662,Auto Finance,1357400.0,19.72,60,35751.26,2027-01-26,0.795,2,313,DEFAULT
L701321,C103470,Credit Card,97800.0,9.94,12,8593.46,2025-10-03,0.2246,0,0,ACTIVE
L701322,C111369,Credit Card,634200.0,19.02,12,58450.16,2026-01-02,0.3595,0,0,ACTIVE
L701323,C105443,Auto Finance,360600.0,13.88,60,8368.34,2025-08-05,0.5856,0,106,DEFAULT
L701324,C104612,Credit Card,119100.0,21.18,12,11101.82,2024-06-30,0.1732,1,45,ACTIVE
L701325,C107592,Personal Loan,204500.0,18.77,36,7472.1,2023-09-05,0.2063,0,0,ACTIVE
L701326,C102784,Auto Finance,488700.0,15.92,60,11864.42,2023-04-11,0.2263,0,7,ACTIVE
L701327,C103199,Personal Loan,2215000.0,16.85,36,78806.75,2026-08-30,0.403,0,7,ACTIVE
L701328,C106126,Personal Loan,164000.0,19.77,36,6074.18,2025-04-16,0.4949,0,0,ACTIVE
L701329,C101548,Personal Loan,460500.0,20.97,36,17340.96,2025-09-25,0.6924,0,30,ACTIVE
L701330,C108131,Credit Card,263500.0,14.8,12,23755.98,2024-04-29,0.3199,0,15,ACTIVE
L701331,C104565,Personal Loan,412900.0,21.46,36,15652.75,2024-11-07,0.3763,2,0,CLOSED
L701332,C110374,Auto Finance,998800.0,15.76,60,24162.36,2023-06-16,0.4555,1,45,ACTIVE
L701333,C109960,Home Finance,1358800.0,19.75,180,23613.36,2024-02-17,0.6922,2,0,ACTIVE
L701334,C108864,Auto Finance,50200.0,19.34,60,1311.88,2025-10-07,0.2238,0,0,ACTIVE
L701335,C109540,Personal Loan,1231100.0,18.07,36,44550.85,2023-12-04,0.1349,0,7,ACTIVE
L701336,C109937,Credit Card,505800.0,20.24,12,46909.28,2024-10-29,0.5524,0,0,ACTIVE
L701337,C111799,Credit Card,156500.0,18.4,12,14379.27,2024-09-02,0.3711,0,0,ACTIVE
L701338,C101152,Credit Card,603000.0,12.38,12,53679.02,2025-06-04,0.4106,0,15,ACTIVE
L701339,C104378,Auto Finance,1443000.0,26.09,60,43282.04,2024-01-04,0.3975,0,0,ACTIVE
L701340,C105883,Home Finance,496000.0,18.19,180,8055.77,2025-01-27,0.5338,0,0,ACTIVE
L701341,C109753,Credit Card,504700.0,,12,47214.13,2025-11-09,0.342,2,7,ACTIVE
L701342,C110279,Personal Loan,379700.0,17.11,36,13556.7,2025-07-22,0.5052,1,45,CLOSED
L701343,C105495,Personal Loan,1313500.0,17.99,36,47479.98,2026-04-10,0.4916,0,7,CLOSED
L701344,C109585,Personal Loan,222800.0,18.06,36,8059.77,2026-03-12,0.4714,1,250,DEFAULT
L701345,C100842,Auto Finance,1257700.0,18.73,60,32437.9,2023-01-24,0.4936,0,0,ACTIVE
L701346,C110738,Personal Loan,1454900.0,24.31,36,57316.07,2024-11-04,0.6547,0,0,ACTIVE
L701347,C103564,Personal Loan,503200.0,20.61,36,18859.02,2024-11-21,0.2513,0,15,ACTIVE
L701348,C107811,Auto Finance,189300.0,20.14,60,5030.97,2026-02-25,0.3174,0,15,ACTIVE
L701349,C104926,Auto Finance,1165600.0,14.79,60,27600.81,2025-04-26,0.4236,1,45,ACTIVE
L701350,C104793,Credit Card,87900.0,22.82,12,8263.51,2024-04-27,0.6232,0,0,CLOSED
L701351,C108712,Personal Loan,538600.0,17.91,36,19446.47,2027-01-13,0.7661,1,137,DEFAULT
L701352,C104116,Credit Card,245800.0,19.44,12,22701.28,2026-03-29,0.2528,1,0,ACTIVE
L701353,C103430,Home Finance,925100.0,18.85,180,15467.67,2023-06-13,0.3135,0,0,CLOSED
L701354,C106366,Credit Card,34400.0,19.59,12,3184.08,2024-08-20,0.4792,0,45,ACTIVE
L701355,C101728,Personal Loan,1180900.0,19.79,36,43761.87,2025-05-01,0.2703,0,0,CLOSED
L701356,C105269,Credit Card,794800.0,20.29,12,73737.27,2024-11-30,0.3098,0,0,CLOSED
L701357,C100890,Auto Finance,1364700.0,22.79,60,38308.15,2024-10-20,0.4616,1,30,CLOSED
L701358,C109651,Credit Card,212200.0,19.58,12,19609.87,2024-03-09,0.0928,0,0,ACTIVE
L701359,C109877,Credit Card,471500.0,19.14,12,43481.54,2027-02-19,0.562,0,15,ACTIVE
L701360,C108622,Personal Loan,733200.0,19.03,36,26887.83,2025-03-31,0.3048,0,30,CLOSED
L701361,C100102,Personal Loan,668200.0,22.74,36,25775.28,2024-08-30,0.3511,0,15,CLOSED
L701362,C107152,Auto Finance,781500.0,19.98,60,20697.47,2026-08-30,0.3263,0,30,ACTIVE
L701363,C108841,Credit Card,400300.0,21.78,12,37422.34,2023-08-07,0.6283,0,7,ACTIVE
L701364,C101372,Credit Card,291300.0,17.24,12,26602.37,2023-08-02,0.5347,0,0,ACTIVE
L701365,C103967,Personal Loan,525800.0,25.68,36,21094.89,2025-05-22,0.3943,2,0,ACTIVE
L701366,C110954,Auto Finance,873000.0,17.95,60,22143.91,2022-09-11,0.4469,0,0,ACTIVE
L701367,C101139,Home Finance,416100.0,22.22,180,7998.9,2025-05-02,0.4354,0,0,ACTIVE
L701368,C108869,Home Finance,669100.0,15.76,180,9715.97,2025-04-13,0.2419,0,7,ACTIVE
L701369,C102036,Personal Loan,211700.0,20.6,36,7931.95,2026-01-31,0.2605,0,15,ACTIVE
L701370,C109498,Credit Card,298900.0,16.85,12,27235.98,2025-06-13,0.3636,0,7,ACTIVE
L701371,C100416,Auto Finance,683900.0,22.18,60,18958.54,2024-11-24,0.2819,1,0,ACTIVE
L701372,C106506,Home Finance,1469000.0,20.08,180,25887.69,2027-04-26,0.2204,1,152,DEFAULT
L701373,C100043,Home Finance,1691100.0,19.25,180,28767.33,2024-02-22,0.1783,1,0,ACTIVE
L701374,C109705,Auto Finance,357600.0,15.84,60,8666.32,2026-06-26,0.2441,0,0,ACTIVE
L701375,C111246,Credit Card,27500.0,24.15,12,2603.6,2025-09-17,0.474,0,0,CLOSED
L701376,C107102,Home Finance,2618500.0,18.0,180,42169.48,2022-07-09,0.482,0,15,CLOSED
L701377,C110743,Personal Loan,613200.0,21.62,36,23298.28,2026-01-14,0.1632,0,30,CLOSED
L701378,C111983,Personal Loan,481500.0,22.93,36,18621.38,2024-05-01,0.3652,0,30,ACTIVE
L701379,C111399,Home Finance,3358100.0,13.77,180,44203.9,2026-03-24,0.1315,0,0,ACTIVE
L701380,C100485,Auto Finance,524600.0,20.47,60,14035.64,2025-10-29,0.4594,0,0,ACTIVE
L701381,C109403,Personal Loan,908600.0,22.8,36,35076.82,2027-06-17,0.6504,1,15,CLOSED
L701382,C101263,Credit Card,290900.0,19.8,12,26920.43,2026-09-28,0.4542,0,0,ACTIVE
L701383,C101066,Auto Finance,353200.0,15.39,60,8474.42,2024-08-15,0.148,0,15,ACTIVE
L701384,C109145,Credit Card,563600.0,17.77,12,51607.99,2025-12-23,0.5696,1,199,DEFAULT
L701385,C110910,Home Finance,5820800.0,13.84,180,76893.74,2026-07-03,0.6433,0,45,ACTIVE
L701386,C102017,Credit Card,105500.0,16.21,12,9580.98,2023-12-25,0.4006,0,0,ACTIVE
L701387,C109177,Home Finance,1958200.0,,180,31127.02,2024-03-22,0.4429,0,15,ACTIVE
L701388,C110508,Personal Loan,1049000.0,21.54,36,39813.75,2022-07-28,0.115,0,7,ACTIVE
L701389,C106153,Personal Loan,407200.0,13.7,36,13858.29,2023-11-11,0.5838,0,15,ACTIVE
L701390,C104860,Credit Card,240900.0,14.75,12,21712.99,2023-03-24,0.3285,1,0,ACTIVE
L701391,C102882,Credit Card,75700.0,20.67,12,7041.16,2022-12-26,0.3143,2,7,ACTIVE
L701392,C106096,Auto Finance,391400.0,17.76,60,9887.42,2022-09-04,0.7891,0,15,ACTIVE
L701393,C111684,Auto Finance,775600.0,27.29,60,23818.84,2023-08-27,0.4525,2,0,ACTIVE
L701394,C108069,Home Finance,1439800.0,17.66,180,22834.77,2022-07-09,0.488,0,30,CLOSED
L701395,C110909,Home Finance,1719200.0,21.13,180,31639.44,2023-09-02,0.147,2,45,CLOSED
L701396,C106344,Credit Card,382300.0,20.59,12,35525.72,2025-02-13,0.685,0,30,ACTIVE
L701397,C103777,Auto Finance,1169200.0,21.71,60,32099.72,2022-02-05,0.2486,1,0,ACTIVE
L701398,C103973,Auto Finance,1379100.0,20.48,60,36906.24,2025-04-29,0.5579,1,223,DEFAULT
L701399,C100585,Credit Card,273800.0,19.08,12,25241.86,2023-06-02,0.3946,1,45,ACTIVE
L701400,C105739,Home Finance,5628700.0,18.63,180,93208.18,2026-02-17,0.4889,0,45,ACTIVE
L701401,C111977,Auto Finance,884200.0,22.13,60,24484.7,2024-07-23,0.3988,0,15,CLOSED
L701402,C111542,Home Finance,1555100.0,24.12,180,32152.06,2027-03-22,0.3905,3,30,ACTIVE
L701403,C103630,Credit Card,81400.0,25.36,12,7750.46,2024-07-21,0.3694,0,15,CLOSED
L701404,C111091,Personal Loan,363900.0,14.85,36,12589.47,2022-06-19,0.4063,0,0,CLOSED
L701405,C110792,Credit Card,532600.0,23.41,12,50207.84,2024-02-11,0.2864,1,15,ACTIVE
L701406,C101460,Auto Finance,846500.0,19.36,60,22127.02,2025-02-02,0.1332,1,7,ACTIVE
L701407,C102744,Auto Finance,394500.0,10.34,60,8448.89,2025-10-03,0.2321,0,257,DEFAULT
L701408,C105723,Personal Loan,603100.0,19.77,36,22342.99,2023-09-24,0.4078,0,45,ACTIVE
L701409,C111318,Credit Card,427400.0,26.13,12,40859.79,2025-12-11,0.3481,0,45,ACTIVE
L701410,C105633,Personal Loan,445900.0,,36,16063.69,2026-12-02,0.602,0,0,ACTIVE
L701411,C107748,Credit Card,200500.0,,12,18586.49,2025-11-16,0.5404,0,45,ACTIVE
L701412,C105637,Home Finance,1404800.0,15.61,180,20252.11,2027-01-05,0.3122,0,0,ACTIVE
L701413,C108057,Credit Card,58700.0,20.13,12,5436.93,2022-04-05,0.4681,0,0,ACTIVE
L701414,C100245,Personal Loan,1359900.0,18.2,36,49301.67,2025-07-24,0.0,0,175,DEFAULT
L701415,C111254,Personal Loan,2243600.0,26.22,36,90657.86,2025-07-22,0.4519,0,45,ACTIVE
L701416,C111393,Credit Card,139500.0,13.98,12,12525.8,2025-08-21,0.2263,0,15,CLOSED
L701417,C108159,Auto Finance,930600.0,21.68,60,25533.34,2025-03-28,0.6554,0,0,CLOSED
L701418,C105608,Auto Finance,933600.0,20.91,60,25208.44,2023-08-21,0.3451,0,7,ACTIVE
L701419,C103339,Auto Finance,1566200.0,21.02,60,42389.64,2022-08-17,0.3002,0,0,CLOSED
L701420,C110344,Auto Finance,1851700.0,21.56,60,50678.87,2025-10-14,0.5823,0,45,ACTIVE
L701421,C108374,Credit Card,188100.0,17.34,12,17183.68,2026-02-20,0.1579,0,0,ACTIVE
L701422,C103641,Home Finance,1393400.0,,180,25414.62,2025-12-09,0.1701,0,30,CLOSED
L701423,C110741,Home Finance,885600.0,18.96,180,14876.93,2024-01-31,0.3966,0,7,ACTIVE
L701424,C107356,Auto Finance,1478200.0,19.71,60,38925.67,2022-05-27,0.6196,2,0,ACTIVE
L701425,C108812,Credit Card,95800.0,,12,8894.57,2024-08-05,0.3191,0,30,ACTIVE
L701426,C102023,Credit Card,49400.0,20.39,12,4586.82,2025-03-14,0.6698,0,30,ACTIVE
L701427,C103838,Credit Card,204000.0,23.33,12,19221.01,2025-04-29,0.4414,2,0,ACTIVE
L701428,C100643,Credit Card,74500.0,21.07,12,6943.65,2023-11-03,0.6725,0,15,ACTIVE
L701429,C103965,Personal Loan,748800.0,13.54,36,25425.06,2023-04-25,0.1271,0,45,ACTIVE
L701430,C109465,Home Finance,1791000.0,18.37,180,29321.41,2026-01-18,0.2425,0,0,ACTIVE
L701431,C105316,Auto Finance,194800.0,15.95,60,4731.66,2023-06-18,0.1532,0,0,ACTIVE
L701432,C101722,Credit Card,230000.0,25.03,12,21863.53,2025-07-01,0.2457,0,0,ACTIVE
L701433,C100667,Personal Loan,1444500.0,19.54,36,53344.86,2023-09-12,0.3262,0,0,ACTIVE
L701434,C100717,Auto Finance,239300.0,25.46,60,7089.45,2023-04-28,0.1419,0,0,ACTIVE
L701435,C106441,Personal Loan,143700.0,19.5,36,5304.5,2024-09-15,0.332,0,0,CLOSED
L701436,C109379,Personal Loan,1070700.0,19.69,36,39620.82,2022-08-25,0.2844,0,30,ACTIVE
L701437,C111943,Auto Finance,1008300.0,17.14,60,25135.93,2023-07-09,0.2097,1,0,CLOSED
L701438,C101687,Auto Finance,4833600.0,18.46,60,123953.79,2025-08-13,0.3146,1,0,ACTIVE
L701439,C104316,Home Finance,1596700.0,19.57,180,27537.04,2025-04-28,0.2342,0,15,ACTIVE
L701440,C108709,Home Finance,325100.0,16.97,180,4996.52,2024-01-17,0.5399,0,7,ACTIVE
L701441,C105944,Personal Loan,874600.0,22.37,36,33569.41,2024-05-26,0.4584,0,7,ACTIVE
L701442,C105275,Auto Finance,1830600.0,18.28,60,46764.72,2024-04-06,0.7971,0,30,ACTIVE
L701443,C100423,Auto Finance,323900.0,18.45,60,8305.17,2026-10-25,0.5083,0,7,ACTIVE
L701444,C106129,Auto Finance,824300.0,15.98,60,20036.74,2026-04-20,0.4157,0,15,CLOSED
L701445,C104786,Personal Loan,1054600.0,18.65,36,38469.46,2026-02-17,0.5466,0,0,CLOSED
L701446,C105369,Auto Finance,751300.0,21.11,60,20371.77,2025-04-15,0.6194,0,318,DEFAULT
L701447,C110471,Personal Loan,232000.0,24.78,36,9195.79,2025-03-04,0.2814,0,7,ACTIVE
L701448,C100699,Auto Finance,3209700.0,15.2,60,76695.5,2025-05-05,0.5185,1,7,CLOSED
L701449,C102229,Personal Loan,267100.0,21.19,36,10087.72,2025-08-26,0.8544,0,30,CLOSED
L701450,C100019,Personal Loan,494900.0,15.13,36,17186.1,2023-05-24,0.4994,0,0,ACTIVE
L701451,C100145,Credit Card,158300.0,23.24,12,14912.23,2024-11-20,0.6717,1,7,ACTIVE
L701452,C110157,Personal Loan,1338700.0,26.84,36,54539.62,2024-05-25,0.4282,1,0,ACTIVE
L701453,C104891,Personal Loan,208000.0,15.69,36,7279.67,2027-07-26,0.3806,0,15,ACTIVE
L701454,C102757,Personal Loan,208100.0,,36,7342.15,2024-05-04,0.2607,0,7,ACTIVE
L701455,C108251,Credit Card,235900.0,17.03,12,21518.33,2025-04-13,0.4894,1,30,ACTIVE
L701456,C110246,Personal Loan,433000.0,22.2,36,16582.3,2024-02-06,0.2837,0,0,CLOSED
L701457,C102595,Auto Finance,284000.0,17.27,60,7099.97,2025-01-08,0.5459,0,7,ACTIVE
L701458,C102453,Credit Card,132100.0,22.17,12,12372.29,2023-08-30,0.6824,1,30,CLOSED
L701459,C108981,Auto Finance,242900.0,21.85,60,6688.04,2025-10-07,0.3948,0,0,ACTIVE
L701460,C109351,Personal Loan,2267300.0,22.43,36,87092.93,2023-07-05,0.1339,0,7,ACTIVE
L701461,C110735,Home Finance,1100600.0,20.16,180,19459.3,2026-06-12,0.3233,0,0,ACTIVE
L701462,C102478,Credit Card,557200.0,12.89,12,49738.11,2025-09-04,0.3326,0,0,ACTIVE
L701463,C106695,Personal Loan,455000.0,28.64,36,18976.19,2025-05-12,0.4157,0,0,ACTIVE
L701464,C105304,Personal Loan,1886100.0,19.92,36,70017.18,2024-08-27,0.5226,0,352,DEFAULT
L701465,C107393,Credit Card,164500.0,16.92,12,14998.04,2024-06-21,0.5637,0,0,ACTIVE
L701466,C109873,Personal Loan,181300.0,19.97,36,6736.53,2023-09-02,0.6002,1,135,DEFAULT
L701467,C104518,Auto Finance,1061300.0,22.27,60,29476.03,2024-08-23,0.2912,0,0,ACTIVE
L701468,C111783,Auto Finance,245400.0,23.32,60,6963.3,2025-03-14,0.3303,0,7,ACTIVE
L701469,C105848,Auto Finance,1147900.0,24.79,60,33550.46,2024-03-12,0.1642,1,0,ACTIVE
L701470,C104103,Credit Card,258500.0,17.41,12,23630.6,2024-07-18,0.3274,0,45,ACTIVE
L701471,C107774,Home Finance,1241700.0,21.53,180,23223.48,2024-07-12,0.4985,0,0,ACTIVE
L701472,C108857,Personal Loan,204300.0,19.44,36,7532.81,2025-04-30,0.0565,0,30,ACTIVE
L701473,C106601,Home Finance,908900.0,19.75,180,15794.79,2026-09-19,0.0625,0,15,CLOSED
L701474,C105490,Credit Card,205000.0,15.58,12,18561.71,2022-11-27,0.839,0,45,ACTIVE
L701475,C110483,Home Finance,1469300.0,,180,20362.97,2023-06-14,0.5514,0,30,ACTIVE
L701476,C106275,Auto Finance,1517000.0,16.77,60,37513.2,2026-08-28,0.0846,0,7,ACTIVE
L701477,C104170,Personal Loan,473900.0,18.62,36,17280.96,2027-02-21,0.0805,0,45,CLOSED
L701478,C104337,Credit Card,485000.0,21.05,12,45168.79,2026-07-12,0.441,0,15,ACTIVE
L701479,C103291,Auto Finance,248400.0,17.62,60,6257.28,2024-02-20,0.2326,2,0,ACTIVE
L701480,C105102,Auto Finance,1364600.0,17.71,60,34436.24,2024-05-19,0.7646,1,30,ACTIVE
L701481,C109377,Personal Loan,998900.0,21.63,36,37957.35,2025-09-26,0.4669,0,0,ACTIVE
L701482,C111075,Personal Loan,537100.0,24.48,36,21208.34,2023-01-26,0.1688,1,0,ACTIVE
L701483,C102265,Personal Loan,358200.0,22.71,36,13811.04,2026-06-17,0.1681,1,7,ACTIVE
L701484,C111755,Auto Finance,1098300.0,18.37,60,28110.28,2025-01-03,0.5047,0,45,ACTIVE
L701485,C108745,Personal Loan,993700.0,13.71,36,33823.9,2027-11-02,0.227,0,30,CLOSED
L701486,C101612,Auto Finance,556500.0,19.86,60,14701.77,2023-07-05,0.0,0,7,ACTIVE
L701487,C101880,Auto Finance,455300.0,19.13,60,11843.64,2024-04-22,0.0678,0,30,ACTIVE
L701488,C111113,Auto Finance,1125700.0,13.95,60,26164.47,2025-07-17,0.5608,2,0,ACTIVE
L701489,C109947,Personal Loan,755300.0,17.73,36,27202.56,2024-05-16,0.801,2,0,ACTIVE
L701490,C102559,Personal Loan,546600.0,23.38,36,21267.49,2026-05-12,0.627,0,0,CLOSED
L701491,C104455,Personal Loan,544400.0,21.88,36,20756.36,2023-08-25,0.5476,2,7,ACTIVE
L701492,C101692,Credit Card,106200.0,22.66,12,9973.44,2024-03-30,0.5486,0,0,ACTIVE
L701493,C101891,Personal Loan,216300.0,18.0,36,7821.52,2026-03-13,0.3203,0,30,CLOSED
L701494,C110299,Home Finance,6615500.0,19.03,180,111475.27,2023-06-24,0.4848,0,0,ACTIVE
L701495,C102412,Credit Card,175600.0,13.79,12,15752.98,2024-03-04,0.4699,0,0,CLOSED
L701496,C107775,Auto Finance,433800.0,25.71,60,12912.71,2023-10-25,0.4548,0,0,ACTIVE
L701497,C105715,Home Finance,2238400.0,17.6,180,35405.85,2024-07-22,0.3154,0,0,ACTIVE
L701498,C108530,Home Finance,1067200.0,18.41,180,17501.33,2026-10-16,0.5672,0,45,ACTIVE
L701499,C104012,Auto Finance,1636200.0,,60,45321.17,2024-08-27,0.512,2,30,CLOSED
L701500,C109773,Credit Card,416800.0,13.64,12,37353.67,2026-06-28,0.682,1,7,ACTIVE
L701501,C100031,Home Finance,248800.0,18.31,180,4062.86,2025-02-04,0.2425,0,15,ACTIVE
L701502,C110727,Home Finance,5022500.0,17.21,180,78045.87,2024-05-04,0.254,0,45,CLOSED
L701503,C106518,Personal Loan,426200.0,25.39,36,17031.68,2024-11-22,0.5419,1,0,CLOSED
L701504,C102520,Personal Loan,298300.0,9.0,36,9486.46,2026-03-10,0.1541,0,0,CLOSED
L701505,C108291,Personal Loan,218400.0,21.18,36,8247.49,2023-03-30,0.3952,1,0,ACTIVE
L701506,C106053,Auto Finance,967400.0,16.67,60,23871.52,2022-09-28,0.4125,0,0,ACTIVE
L701507,C108497,Credit Card,141300.0,20.68,12,13135.16,2022-08-10,0.1645,0,30,ACTIVE
L701508,C110753,Personal Loan,1132200.0,23.39,36,44057.55,2024-09-17,0.5983,0,0,ACTIVE
L701509,C110683,Personal Loan,465300.0,13.45,36,15779.14,2023-07-15,0.0638,1,0,CLOSED
L701510,C107447,Home Finance,2351400.0,19.22,180,39949.74,2026-07-12,0.265,1,0,ACTIVE
L701511,C105217,Personal Loan,276900.0,17.67,36,9965.42,2024-03-27,0.5899,0,0,ACTIVE
L701512,C111691,Auto Finance,402400.0,21.28,60,10949.01,2023-11-22,0.4726,0,0,ACTIVE
L701513,C108043,Personal Loan,1127600.0,20.84,36,42390.93,2026-10-06,0.2999,0,15,ACTIVE
L701514,C101591,Auto Finance,1683500.0,13.24,60,38511.36,2023-08-19,0.5868,0,15,CLOSED
L701515,C103996,Personal Loan,368900.0,17.95,36,13325.64,2025-06-19,0.1247,0,0,CLOSED
L701516,C107578,Personal Loan,394400.0,23.36,36,15342.17,2026-07-18,0.2452,0,0,CLOSED
L701517,C106400,Home Finance,4324100.0,21.03,180,79253.66,2026-02-15,0.1819,1,0,ACTIVE
L701518,C100363,Auto Finance,2639000.0,14.56,60,62174.25,2025-03-03,0.6529,0,45,ACTIVE
L701519,C104973,Personal Loan,960100.0,19.24,36,35309.05,2022-10-13,0.4248,0,0,ACTIVE
L701520,C111098,Auto Finance,497100.0,25.02,60,14595.8,2025-12-10,0.0667,0,15,ACTIVE
L701521,C105488,Auto Finance,609200.0,20.0,60,16139.81,2025-03-25,0.0365,0,15,ACTIVE
L701522,C110582,Personal Loan,135900.0,20.87,36,5110.31,2023-10-08,0.2561,0,0,ACTIVE
L701523,C109738,Personal Loan,496000.0,21.8,36,18890.27,2026-08-15,0.2066,0,0,ACTIVE
L701524,C109390,Personal Loan,52000.0,19.13,36,1908.59,2025-11-01,0.5272,0,0,ACTIVE
L701525,C103552,Auto Finance,658000.0,17.52,60,16538.43,2025-12-10,0.3803,0,15,ACTIVE
L701526,C107346,Auto Finance,1056000.0,21.92,60,29116.59,2024-07-11,0.1949,0,0,ACTIVE
L701527,C102211,Credit Card,221100.0,19.75,12,20456.15,2026-04-03,0.657,0,15,ACTIVE
L701528,C103922,Personal Loan,1324900.0,19.15,36,48666.95,2022-07-27,0.6354,1,30,ACTIVE
L701529,C101590,Personal Loan,2201000.0,19.4,36,81124.03,2022-05-02,0.3502,1,0,CLOSED
L701530,C108751,Credit Card,481200.0,18.01,12,44118.62,2026-01-05,0.0815,0,0,ACTIVE
L701531,C106414,Home Finance,682400.0,19.27,180,11618.06,2024-12-11,0.0459,0,0,ACTIVE
L701532,C109336,Personal Loan,138400.0,22.86,36,5348.46,2024-10-04,0.34,0,0,ACTIVE
L701533,C105525,Credit Card,192200.0,20.07,12,17810.89,2025-04-29,0.2808,0,0,ACTIVE
L701534,C102220,Personal Loan,1553400.0,10.86,36,50753.72,2026-11-12,0.4618,0,0,CLOSED
L701535,C105182,Credit Card,69700.0,18.94,12,6421.02,2023-01-16,0.0721,0,0,CLOSED
L701536,C103220,Personal Loan,335100.0,19.81,36,12419.83,2022-07-01,0.2505,0,0,ACTIVE
L701537,C104080,Personal Loan,242800.0,18.78,36,8872.6,2023-09-13,0.4695,0,0,ACTIVE
L701538,C102404,Credit Card,269200.0,22.62,12,25279.67,2025-07-18,0.0048,1,0,ACTIVE
L701539,C107025,Credit Card,200800.0,14.26,12,18052.41,2024-02-25,0.1614,0,15,ACTIVE
L701540,C109839,Home Finance,260300.0,19.93,180,4558.01,2025-12-12,0.0321,0,0,ACTIVE
L701541,C103330,Auto Finance,153800.0,22.5,60,4291.28,2024-04-28,0.663,0,45,ACTIVE
